"","site","peche","salinite","temperature","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8"
"1","a","0",33.5855983378126,15.1,8,19,235,50,2,8,3,46
"2","a","0",41.1371995801984,13.45,9,9,253,47,3,8,3,27
"3","a","0",38.3537154391614,13.68,9,6,224,52,2,8,0,45
"4","a","0",37.8933474181517,14.41,8,14,270,49,3,8,2,22
"5","a","0",43.9869807749804,14.6,9,13,244,47,4,9,10,31
"6","a","0",39.8462434148615,14.12,9,9,248,46,4,9,12,32
"7","a","0",39.9807230409031,14.84,8,17,250,47,4,8,5,27
"8","a","0",38.8168709852881,14.19,10,11,230,55,7,8,16,58
"9","a","0",40.2764342984197,13.97,9,8,222,47,1,9,5,34
"10","a","0",38.9977617147321,15.63,8,7,251,47,5,8,2,33
"11","b","1",35.9629100642739,14.78,10,23,216,49,7,9,5,14
"12","b","1",35.3906088836879,16.41,9,18,210,48,0,10,9,21
"13","b","1",30.3322049600447,16.3,10,16,220,51,4,9,14,10
"14","b","1",39.3571715387266,16.05,11,6,219,49,5,9,7,39
"15","b","1",35.5407925071214,16.41,10,0,225,48,6,9,13,45
"16","b","1",38.158869845834,16.51,10,9,190,49,2,10,16,23
"17","b","1",34.8437860256438,16.72,11,4,191,53,5,9,11,33
"18","b","1",41.5834698501135,16.58,10,16,195,49,5,9,18,25
"19","b","1",31.3714136802267,16.95,13,18,195,51,2,9,13,29
"20","b","1",45.734228251,15.91,11,2,201,52,1,9,18,24
"21","c","0",33.0013127069791,17.56,8,3,226,48,6,8,17,8
"22","c","0",40.2762328728644,16.83,8,7,238,47,2,9,6,32
"23","c","0",32.7347626888123,16.95,8,3,225,49,8,8,9,24
"24","c","0",30.3598183319835,17.65,9,9,239,47,2,8,15,16
"25","c","0",35.6239123698685,16.93,8,7,229,48,2,9,14,2
"26","c","0",36.9391553903147,16.77,8,14,259,43,1,10,11,25
"27","c","0",35.8225522908198,17.62,8,13,242,46,4,9,18,41
"28","c","0",37.1523464719423,16.27,9,22,240,48,6,9,15,6
"29","c","0",40.7688081054263,15.31,9,15,212,48,7,9,9,31
"30","c","0",35.7857222478339,15.32,9,22,226,48,5,9,8,25
"31","d","1",35.248969698903,15.22,11,20,200,49,4,10,8,18
"32","d","1",42.2476128279162,15.34,12,15,206,49,7,10,14,64
"33","d","1",38.726308959291,15.25,11,13,202,48,4,9,3,28
"34","d","1",37.697948884608,14.21,8,9,198,47,5,10,10,38
"35","d","1",34.6049169303225,15.09,11,2,201,47,5,9,8,31
"36","d","1",38.8176857378499,15.27,12,18,190,48,2,10,14,23
"37","d","1",36.3988156887536,13.69,11,1,221,47,4,10,9,22
"38","d","1",33.8580290341001,14.39,10,14,204,52,7,10,14,38
"39","d","1",37.3922031297385,13.79,9,12,203,44,6,9,10,38
"40","d","1",42.3300026207235,13.33,7,7,197,49,7,10,16,29
"41","e","1",40.4836479805086,13.48,8,16,199,53,0,10,16,23
"42","e","1",36.3080358717486,14.07,9,17,203,48,7,10,11,27
"43","e","1",30.1171663771768,14.73,9,13,197,47,1,10,4,49
"44","e","1",39.6164520239167,14.32,9,10,192,49,2,10,7,22
"45","e","1",42.1196895517896,15.31,8,3,173,56,5,11,7,24
"46","e","1",35.085808970797,13.75,7,14,184,62,4,10,6,28
"47","e","1",39.6785585489889,13.9,8,15,179,59,7,10,15,41
"48","e","1",40.6555891333137,14.63,7,19,183,51,4,11,13,35
"49","e","1",38.6631760666423,14.33,9,9,198,48,5,10,17,18
"50","e","1",38.7771044135072,13.85,9,16,187,51,7,10,7,54
"51","f","0",45.8586424981975,13.85,7,15,221,47,4,9,8,47
"52","f","0",37.1809734778306,14.7,9,10,227,50,4,9,15,2
"53","f","0",39.1492225331343,13.29,9,12,245,47,7,8,11,36
"54","f","0",47.5490332010247,12.91,8,6,229,49,5,10,16,32
"55","f","0",33.7627687886127,13.85,9,8,210,44,5,9,6,41
"56","f","0",37.5634885991822,13.33,9,7,217,50,2,8,7,33
"57","f","0",38.2117909941512,15.02,8,13,218,51,1,9,4,6
"58","f","0",39.3912040862187,14.46,8,12,235,52,8,9,12,36
"59","f","0",36.3913356554199,14.56,8,16,222,45,7,8,10,26
"60","f","0",36.943413935037,14.53,9,9,242,52,3,9,5,21
