"","site","feu","ph du sol","temperature","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8"
"1","a","0",8.29918477494009,12.94,2,2,11,7,1,18,1,5
"2","a","0",6.63861520540957,10.26,2,3,10,7,0,18,1,2
"3","a","0",7.65869459475606,12.3,2,2,11,6,0,18,3,4
"4","a","0",8.04233784861061,11.7,2,3,11,6,0,18,1,6
"5","a","0",8.18085742966834,11.99,3,1,10,6,1,19,1,5
"6","a","0",8.69065541584629,12.34,3,2,12,6,1,19,1,3
"7","a","0",7.98641018113899,12.48,2,2,10,6,0,19,1,5
"8","a","0",8.01278827628896,12.19,3,0,11,6,1,18,2,3
"9","a","0",8.3037853346096,13.75,3,2,10,7,1,19,2,3
"10","a","0",9.68721572097393,12.81,3,3,11,6,1,18,1,5
"11","b","0",7.27460535670941,14.6,3,2,11,6,0,17,1,3
"12","b","0",7.73467343124405,12.77,2,2,11,7,1,18,3,6
"13","b","0",6.69868680697131,15.19,3,2,11,6,0,19,2,6
"14","b","0",8.57762586768994,12.58,3,1,11,7,1,19,3,3
"15","b","0",8.72321111645193,13.52,3,1,11,6,1,19,2,2
"16","b","0",8.26014188703187,14.8,2,2,10,6,1,19,3,2
"17","b","0",8.66863992418132,14.55,3,1,10,6,0,20,4,3
"18","b","0",6.35474618899712,13.78,3,2,10,7,1,19,2,6
"19","b","0",8.34510222828285,14.82,3,2,10,7,1,19,4,2
"20","b","0",7.2523903507074,14.66,3,2,10,6,0,21,2,4
"21","c","1",7.22742024760627,14.43,3,3,9,7,0,20,3,3
"22","c","1",7.16485571889612,15.39,3,1,9,7,0,19,2,5
"23","c","1",8.29290100081299,14.55,3,1,9,7,0,22,3,4
"24","c","1",8.77844334038699,15.07,4,4,8,7,1,20,3,3
"25","c","1",7.81173990513223,12.86,3,2,10,6,0,21,3,3
"26","c","1",9.69734047454932,14.28,3,2,10,7,1,20,3,2
"27","c","1",5.94852840558357,13.75,3,2,9,7,1,20,3,1
"28","c","1",9.60817916841289,13.31,4,2,9,7,1,21,0,6
"29","c","1",8.06831019571681,13.48,3,2,9,7,1,22,2,3
"30","c","1",9.31378249044276,12.51,4,3,8,7,0,19,3,4
"31","d","1",8.74978271916819,13.44,3,1,8,7,1,21,3,4
"32","d","1",8.71596456527902,12.66,3,3,9,8,0,18,3,4
"33","d","1",8.57552998321984,13.6,3,0,9,8,0,20,4,5
"34","d","1",8.41603639821548,12.56,3,2,8,7,0,19,3,4
"35","d","1",7.6092474752819,13.33,3,1,10,8,0,21,2,3
"36","d","1",8.20502934531517,12.43,3,2,8,8,1,20,3,4
"37","d","1",7.88850397849991,11.92,3,3,10,8,1,20,1,5
"38","d","1",6.64185797706902,12.16,3,2,9,8,0,21,1,5
"39","d","1",8.55467014716652,12.45,3,3,9,8,1,22,2,2
"40","d","1",7.49295823982515,11.21,3,4,9,8,1,22,2,6
"41","e","1",9.01027523227683,12.1,3,2,9,9,0,21,2,4
"42","e","1",6.86017243688753,11.5,2,1,10,8,0,20,4,1
"43","e","1",6.4801636947863,11.64,2,1,8,8,1,22,3,2
"44","e","1",7.57593049619532,11.78,2,0,8,8,1,22,2,3
"45","e","1",7.59546728201287,11.79,2,3,8,8,1,22,3,5
"46","e","1",8.56566744997541,11.94,3,1,8,8,1,19,2,3
"47","e","1",8.01820842264085,11.55,2,1,8,7,1,20,3,2
"48","e","1",8.01897978674666,12.53,2,2,9,7,1,22,3,2
"49","e","1",8.83165930543984,12.1,2,0,9,7,1,21,1,2
"50","e","1",9.41318262655306,12.12,2,1,8,7,1,22,3,2
"51","f","0",8.41000857649211,12.41,3,1,9,6,1,20,2,3
"52","f","0",7.6695388027538,12.04,3,0,9,6,1,20,2,3
"53","f","0",7.35734911075742,11.94,3,2,10,7,0,20,1,5
"54","f","0",8.38986563438525,11.17,3,3,11,6,1,20,3,5
"55","f","0",7.48159237003705,12.76,3,1,10,7,0,20,2,5
"56","f","0",8.85648008133614,12.17,3,3,9,6,1,20,2,5
"57","f","0",7.01743082023926,12,3,2,10,6,0,19,3,2
"58","f","0",8.03542127249732,11.79,3,3,9,7,1,20,1,4
"59","f","0",8.79406587906781,11.78,3,1,10,7,0,20,2,7
"60","f","0",8.23337648819299,12.51,3,3,10,6,0,21,4,4
